,hashtag,tweet_count,year
0,iwanttogothere,2,2011
1,California,2,2011
2,ThingsToDoBefore2011Ends,1,2011
3,coisasqueeugosto,1,2011
4,topfive,1,2011
5,Beyonce,1,2011
6,newtwitter,1,2011
7,atardecer,1,2011
8,Lantana,1,2011
9,Español,1,2011
10,inteligentes,1,2011
11,sabias,1,2011
12,smoke,1,2011
13,PalmBeach,1,2011
14,Florida,1,2011
15,CaminemosJuntosRadio,1,2011
16,ImpactGeneration,1,2011
17,PalmBeachCounty,1,2011
18,RadioShowForTeenagers,1,2011
19,CrazyLittleThingsThatMakeLifeBeautiful,1,2011
20,CarlSagan,1,2011
21,ShakiraHollywoodStar,1,2011
22,truth,1,2011
23,GoldenState,1,2011
24,idea,1,2011
25,Portugal,1,2011
26,français,1,2011
27,technology,1,2011
28,verdad,1,2011
29,lovinglife,1,2011
0,missuniverse,12,2012
1,MissUniverse,11,2012
2,MissUniverso2012,8,2012
3,Colombia,5,2012
4,determined,3,2012
5,Bogota,2,2012
6,My2012Moment,2,2012
7,Determined,2,2012
8,COLOMBIA,2,2012
9,Ballet,2,2012
10,Florida,2,2012
11,Copa2014,2,2012
12,aprendí,2,2012
13,Japanese,2,2012
14,London2012,2,2012
15,StopSOPA,2,2012
16,MusicaBogotana,1,2012
17,FelizDíaDeLosInocentes,1,2012
18,MakesNoSense,1,2012
19,PartyLikeAJournalist,1,2012
20,yoymismaloschistes,1,2012
21,fimdomundo,1,2012
22,ImJustKidding,1,2012
23,MissUniveeae,1,2012
24,MissUSA,1,2012
25,MissUniverso,1,2012
26,2012TaughtMe,1,2012
27,Smile,1,2012
28,Fuschia,1,2012
29,NightDress,1,2012
0,EresColombianoSi,57,2013
1,COLOMBIA,6,2013
2,Brasil2014,5,2013
3,Colombia,4,2013
4,matemáticas,3,2013
5,Bogotá,3,2013
6,determined,3,2013
7,MissUniverse,2,2013
8,TED,2,2013
9,chistesmalos,2,2013
10,mathchat,2,2013
11,ISS,2,2013
12,Astronomía,2,2013
13,neokonradistas,2,2013
14,konradista,2,2013
15,CosasQueLeGustanATodoElMundoMenosAMí,2,2013
16,ElFísicoAtraePero,2,2013
17,LaVidaMeVaDemostrando,2,2013
18,igoodbye,2,2013
19,mathjoke,1,2013
20,Kepler,1,2013
21,SOFA2013,1,2013
22,TwitterOff,1,2013
23,delotromundo,1,2013
24,PreguntasReinas,1,2013
25,PuertoRico,1,2013
26,ComboMadrugador,1,2013
27,NoviembreSiExiste,1,2013
28,AstronómicamenteHablando,1,2013
29,IndonesiaTanpaFitnah,1,2013
0,COL,14,2014
1,LoMejorDel2013,14,2014
2,EsTiempoDeMatemáticas,8,2014
3,lol,7,2014
4,USA,6,2014
5,DatoCurioso,5,2014
6,math,4,2014
7,TED,4,2014
8,AnécdotaDelDía,3,2014
9,Sucre,3,2014
10,Colombia,3,2014
11,folha,3,2014
12,MathLife,2,2014
13,MeLoTomaréABien,2,2014
